product_id,product_type,product_name,product_sku,category_ids,category_names,modifier_ids,okya_modifier_ids,modifier_names,add_on_ids,add_on_names,components
100170,NOUN,Cheesy Yumburger w/ Drink,1-AC608011000649_1-MC608011000002,424,Burgers,"32435, 32089, 32091","1100170, 2100170, 3100170","Drinks: (VM/SVM), Extras: Burgers (EB), Add-on Desserts (AODS)",,,"burger and sandwich bun, sliced cheese, special burger dressing, yum patty"
104286,NOUN,Cheesy Yumburger Gamejoy Combo,,439,Gamejoy Combos,"34276, 34277, 34278, 34279, 34280","1104286, 2104286, 3104286, 4104286, 5104286","Choice of Burger (GCOB), Choice of Fries (COF), Drinks: (VM/SVM), Extras: Burgers (EB), Add-on Desserts (AODS)",,,"burger and sandwich bun, gamejoy combo, sliced cheese, special burger dressing, yum patty"
100177,NOUN,1 - pc. Breakfast Chickenjoy Solo,,428,Breakfast Joys,"34244, 34315","1100177, 2100177","Flavor : BF Chicken (FBC), Extras: Breakfast Chickenjoy  (EBFC)",,,"1x chickenjoy, all chickenjoy, chickenjoy gravy, fried egg, garlic rice"
100182,NOUN,1 - pc. Breakfast Chickenjoy w/ Drink,,428,Breakfast Joys,"34243, 34316, 34317","1100182, 2100182, 3100182","Flavor : BF Chicken (FBCD), Drinks : Breakfast (DB), Extras: Breakfast Chickenjoy  (EBFC)",,,"1x chickenjoy, all chickenjoy, chickenjoy gravy, fried egg, garlic rice"
100193,NOUN,Iced Mocha,,417,Beverages,34209,1100193,Choice of Iced Mocha Size (CIMs),2716,Choice of Iced Coffee20260506132739,"coffee, fresh milk, large iced coffee cup, mocha powder, regular iced coffee cup"
100195,NOUN,Iced Mocha Float,AA6081110003858,417,Beverages,,,,2716,Choice of Iced Coffee20260506132739,"coffee, fresh milk, mocha powder, soft serve"
100040,NOUN,2-pc. Chickenjoy w/ Drink,,425,Chickenjoy,"34411, 34412, 34428, 34413, 34414","1100040, 2100040, 3100040, 4100040, 5100040","Flavor: Chicken (FC2D), Drinks: (VM/SVM), Add-on Sides: Chickenjoy  (AOSCJOY), Extras: Chickenjoy (ECJ), Add-on Desserts (AODS)",,,"2x chickenjoy, all chickenjoy, chickenjoy gravy, steamed rice"
100046,NOUN,Burger Steak w/ Drink,,423,Burger Steak & Chicken Fillet,"34103, 34104, 34105, 34106","1100046, 2100046, 3100046, 4100046","Steak Size (SSD), Drinks: (VM/SVM), Extras: Burger Steak (EBS), Add-on Desserts (AODS)",,,"burger steak patty, mushroom, steak sauce, steamed rice"
100228,NOUN,Double Cheesy Yumburger w/ Drink,1-AC6081110003173_1-MC6081110003368,424,Burgers,"32092, 32093, 32094","1100228, 2100228, 3100228","Drinks: (VM/SVM), Extras: Burgers (EB), Add-on Desserts (AODS)",,,"burger and sandwich bun, sliced cheese, special burger dressing, yum patty"
100047,NOUN,1-pc. Chickenjoy w/ Palabok & Drink,,425,Chickenjoy,"34223, 34370, 34434, 34371, 34372","1100047, 2100047, 3100047, 4100047, 5100047","Flavor: Chicken (FCPD), Drinks: (VM/SVM), Add-on Sides: Chickenjoy  (AOSCJOY), Extras: Chickenjoy (ECJ), Add-on Desserts (AODS)",,,"all chickenjoy, boiled egg, calamansi, chickenjoy gravy, ground tinapa, marinated pork, palabok noodles, palabok sauce, pork chicharon, shrimp, single serving palabok"
100230,NOUN,Jolly Spaghetti w/ 1 - pc. Burger Steak w/ Drink,1-AC608011000831_1-MC608011000006_1-MC608011000040,422,Jolly Spaghetti & Palabok,"31736, 34132, 21513","1100230, 2100230, 3100230","Drinks: (VM/SVM), Extras: Spaghetti (ESP), Add-on Desserts (AODS)",,,"1x burger steak, burger steak patty, mushroom, single serving spaghetti, spaghetti grated cheese, spaghetti noodles, spaghetti sauce, steak sauce, steamed rice"
100231,NOUN,Double Amazing Aloha Champ Jr. w/ Fries & Drink,,424,Burgers,"34269, 34295, 34296, 34297","1100231, 2100231, 3100231, 4100231","Bacon Preference (BPDAFD), Choice of Fries (COF), Drinks: (VM/SVM), Extras: Burgers (EB)",,,"all fries, honey mustard dressing, jr champ sesame bun, lettuce, pineapple slice, sliced cheese, tomato, yum patty"
100233,NOUN,Double Cheesy Yumburger Solo,AA6081110003740,424,Burgers,"32102, 32104","1100233, 2100233","Extras: Burgers (EB), Add-on Desserts (AODS)",,,"burger and sandwich bun, sliced cheese, special burger dressing, yum patty"
100234,NOUN,Jolly Spaghetti w/ Cheesy Yumburger w/ Drink,1-AC608011001005_1-MC608011000006_1-MC608011000002,422,Jolly Spaghetti & Palabok,"29488, 34130, 21557","1100234, 2100234, 3100234","Drinks: (VM/SVM), Extras: Spaghetti (ESP), Add-on Desserts (AODS)",,,"burger and sandwich bun, single serving spaghetti, sliced cheese, spaghetti grated cheese, spaghetti noodles, spaghetti sauce, special burger dressing, yum patty"
100239,NOUN,Double Cheesy Yumburger w/ Fries & Drink,1-AC6081110003174_1-MC6081110003368,424,Burgers,"32109, 32110, 32111, 32112","1100239, 2100239, 3100239, 4100239","Choice of Fries (COF), Drinks: (VM/SVM), Extras: Burgers (EB), Add-on Desserts (AODS)",,,"all fries, burger and sandwich bun, sliced cheese, special burger dressing, yum patty"
100258,NOUN,Tuna Pie Solo,,421,Sandwiches & Savory Pies,34290,1100258,Flavor: Tuna Pie(FTP),,,"1x tuna pie, tuna pie"
100259,NOUN,Tuna Pie Trio,,"416,421","Family Meals, Sandwiches & Savory Pies",34226,1100259,Flavor: Tuna Pie Trio (FTPT),,,"3x tuna pie, tuna pie"
100073,NOUN,2-pc. Chickenjoy Solo,,425,Chickenjoy,"34266, 34429, 34373, 34374","1100073, 2100073, 3100073, 4100073","Flavor: Chicken (FC2), Add-on Sides: Chickenjoy  (AOSCJOY), Extras: Chickenjoy (ECJ), Add-on Desserts (AODS)",,,"2x chickenjoy, all chickenjoy, chickenjoy gravy, steamed rice"
104285,NOUN,Yumburger Gamejoy Combo,1-AC6081110003319_1-MC608011000001_1-MC608011000072_1-MC6081110003587,439,Gamejoy Combos,"34272, 34273, 34274, 34275","1104285, 2104285, 3104285, 4104285","Choice of Fries (COF), Drinks: (VM/SVM), Extras: Burgers (EB), Add-on Desserts (AODS)",,,"burger and sandwich bun, gamejoy combo, special burger dressing, yum patty"
104258,NOUN,2-pc. Chicken Fillet Solo,,423,Burger Steak & Chicken Fillet,"34237, 34238, 34239","1104258, 2104258, 3104258","Choice of Fillet Sauce (2COFS), Extras: Chicken Fillet Sauce (ECFS), Add-on Desserts (AODS)",,,"2x chicken fillet, chicken fillet, steamed rice"
104255,NOUN,2-pc. Chicken Fillet w/ Drink,,423,Burger Steak & Chicken Fillet,"34233, 34234, 34235, 34236","1104255, 2104255, 3104255, 4104255","Choice of Fillet Sauce (2COFSD), Drinks: (VM/SVM), Extras: Chicken Fillet Sauce (ECFS), Add-on Desserts (AODS)",,,"2x chicken fillet, chicken fillet, steamed rice"
104193,NOUN,1-pc. Pepper Cream Chicken Fillet w/ Jolly Spaghetti Solo,1-AA6081110004091_1-MC608011000006,423,Burger Steak & Chicken Fillet,"34127, 34263","1104193, 2104193","Add-on Desserts (AODS), Extras: Pepper Cream Chicken Fillet (EPCCF)",,,"1x chicken fillet, chicken fillet, pepper cream sauce, single serving spaghetti, spaghetti grated cheese, spaghetti noodles, spaghetti sauce, steamed rice"
100289,NOUN,"1-pc. Chickenjoy, Half Jolly Spaghetti, Burger Steak w/ Rice & Drink",,427,Super Meals,"34242, 34318, 34319, 34436","1100289, 2100289, 3100289, 4100289","Flavor : Super Meal (CHB), Drinks: (VM/SVM), Add-on Desserts (AODS), Extras: Chickenjoy 3 (ECJ3)",,,"1x burger steak, 1x chickenjoy, all chickenjoy, chickenjoy gravy, half serving spaghetti, mushroom, spaghetti grated cheese, spaghetti noodles, spaghetti sauce, steak sauce, steamed rice, yum patty"
100292,NOUN,1-pc. Chickenjoy w/ Burger Steak & Drink,,425,Chickenjoy,"34222, 34386, 34432, 34388, 34389","1100292, 2100292, 3100292, 4100292, 5100292","Flavor: Chicken (FCBD), Drinks: (VM/SVM), Add-on Sides: Chickenjoy  (AOSCJOY), Extras: Chickenjoy (ECJ), Add-on Desserts (AODS)",,,"1x burger steak, 1x chickenjoy, all chickenjoy, burger steak patty, chickenjoy gravy, mushroom, steak sauce, steamed rice"
100297,NOUN,1-pc. Chickenjoy w/ Burger Steak Solo,,425,Chickenjoy,"34390, 34433, 34391, 34392","1100297, 2100297, 3100297, 4100297","Flavor: Chicken (FCBS), Add-on Sides: Chickenjoy  (AOSCJOY), Extras: Chickenjoy (ECJ), Add-on Desserts (AODS)",,,"1x burger steak, 1x chickenjoy, all chickenjoy, burger steak patty, chickenjoy gravy, mushroom, steak sauce, steamed rice"
100300,NOUN,Jolly Spaghetti w/ 1 - pc. Burger Steak Solo,1-AA6081110003077_1-MC608011000006_1-MC608011000040,422,Jolly Spaghetti & Palabok,"31735, 34133","1100300, 2100300","Add-on Desserts (AODS), Extras: Spaghetti (ESP)",,,"1x burger steak, burger steak patty, mushroom, single serving spaghetti, spaghetti grated cheese, spaghetti noodles, spaghetti sauce, steak sauce, steamed rice"
100304,NOUN,Bacon & Egg Breakfast Sandwich Solo,AA6081110003143,428,Breakfast Joys,,,,,,"breakfast bacon, fried egg, sandwich bun, sliced cheese"
100306,NOUN,Amazing Aloha Champ Jr. Solo,,424,Burgers,"34268, 34304, 34305","1100306, 2100306, 3100306","Bacon Preference (BPA), Extras: Burgers (EB), Add-on Desserts (AODS)",,,"honey mustard dressing, jr champ sesame bun, lettuce, pineapple slice, sliced cheese, tomato, yum patty"
100307,NOUN,Double Amazing Aloha Champ Jr. Solo,,424,Burgers,"34271, 34298, 34299","1100307, 2100307, 3100307","Bacon Preference (BPDA), Extras: Burgers (EB), Add-on Desserts (AODS)",,,"honey mustard dressing, jr champ sesame bun, lettuce, pineapple slice, sliced cheese, tomato, yum patty"
100310,NOUN,"Bacon, Egg, & Cheese Pancake Sandwich Solo",AA608011041127,428,Breakfast Joys,,,,,,"breakfast bacon, fried egg, mini pancake, sliced cheese"
100311,NOUN,"Bacon, Egg, & Cheese Pancake Sandwich w/ Drink",1-AC608011000608_1-MC608011041127,428,Breakfast Joys,32728,1100311,Drinks : Breakfast (DB),,,"breakfast bacon, fried egg, mini pancake"
100312,NOUN,Amazing Aloha Champ Jr. w/ Drink,,424,Burgers,"34267, 34306, 34307, 34308","1100312, 2100312, 3100312, 4100312","Bacon Preference (BPAD), Drinks: (VM/SVM), Extras: Burgers (EB), Add-on Desserts (AODS)",,,"honey mustard dressing, jr champ sesame bun, lettuce, pineapple slice, sliced cheese, tomato, yum patty"
104132,NOUN,Strawberry Burst Choco Sundae,AA6081110004178,418,Desserts & Sweet Pies,,,,,,"fudge, soft serve, strawberry popping boba, strawberry syrup"
100313,NOUN,Double Amazing Aloha Champ Jr. w/ Drink,,424,Burgers,"34270, 34310, 34311, 34312","1100313, 2100313, 3100313, 4100313","Bacon Preference (BPDAD), Drinks: (VM/SVM), Extras: Burgers (EB), Add-on Desserts (AODS)",,,"honey mustard dressing, jr champ sesame bun, lettuce, pineapple slice, sliced cheese, tomato, yum patty"
100316,NOUN,1-pc. Chickenjoy w/ Double Rice & Regular Iced Tea,,425,Chickenjoy,"34219, 34393, 34430, 34394, 34395","1100316, 2100316, 3100316, 4100316, 5100316","Flavor: Chicken (FCIT), Drinks: Iced Tea (DIT), Add-on Sides: Chickenjoy  (AOSCJOY), Extras: Chickenjoy (ECJ), Add-on Desserts (AODS)",,,"1x chickenjoy, all chickenjoy, chickenjoy gravy, regular iced tea, steamed rice"
100295,NOUN,Crunchy Chicken Sandwich w/ Fries & Drink,,421,Sandwiches & Savory Pies,"34224, 34084, 34085, 34086","1100295, 2100295, 3100295, 4100295","Flavor : Chicken Sandwich (FCSFD), Choice of Fries (COF), Drinks: (VM/SVM), Add-on Desserts (AODS)",,,"burger and sandwich bun, chicken patty"
100077,NOUN,Extra Rice,AA608011000132,420,"Fries, Sides & Extras",,,,"2468,2769,2770","Extras: Chicken Fillet Sauce (ECFS), Extras: Super Meal (ESM), Extras: Supreme (ES)",steamed rice
100327,NOUN,Iced Latte,,417,Beverages,34258,1100327,Choice of Iced Latte Size (CILs),2716,Choice of Iced Coffee20260506132739,"coffee, fresh milk, large iced coffee cup, latte powder, regular iced coffee cup"
100333,NOUN,Bacon Cheesy Yumburger Solo,AA6081110003221,424,Burgers,"32131, 32133","1100333, 2100333","Extras: Burgers (EB), Add-on Desserts (AODS)",,,"bacon, burger and sandwich bun, sliced cheese, special burger dressing, yum patty"
100334,NOUN,Jolly Crispy Fries,,420,"Fries, Sides & Extras",34260,1100334,Choice of Fries (COFF),2713,Add on (Crispy Fries)20260506132816,all fries
100337,NOUN,Bacon Cheesy Yumburger w/ Drink,1-AC6081110003027_1-MC6081110003109,424,Burgers,"32134, 32135, 32136","1100337, 2100337, 3100337","Drinks: (VM/SVM), Extras: Burgers (EB), Add-on Desserts (AODS)",,,"bacon, burger and sandwich bun, sliced cheese, special burger dressing, yum patty"
100341,NOUN,Cookies & Cream Sundae,AA6081110003265,418,Desserts & Sweet Pies,,,,2715,Choice of Sundae20260506132749,"choco coating, cookies and cream, soft serve"
100361,NOUN,Hot Fresh Brew,AA6081110003759,,,,,,,,"creamer packet, hot brewed coffee, sugar packet"
100078,NOUN,Jolly Spaghetti Solo,AA608011000006,422,Jolly Spaghetti & Palabok,"34129, 31722","1100078, 2100078","Extras: Spaghetti (ESP), Add-on Desserts (AODS)",,,"single serving spaghetti, spaghetti grated cheese, spaghetti noodles, spaghetti sauce"
100381,NOUN,Yumburger Family Savers,1-AC6081110003074_3-MC608011000001,416,Family Meals,34313,1100381,Choice of Fries (COF-YFS),,,"all fries, burger and sandwich bun, special burger dressing, yum patty"
100382,NOUN,Palabok Family Pan,AA6081110003440,"416,422","Family Meals, Jolly Spaghetti & Palabok",,,,,,"boiled egg, calamansi, family pan palabok, ground tinapa, marinated pork, palabok noodles, palabok sauce, pork chicharon, shrimp"
100386,NOUN,Champ Solo,AA608011000004,424,Burgers,"32149, 32151","1100386, 2100386","Extras: Burgers (EB), Add-on Desserts (AODS)",,,"champ all purpose dressing, champ patty, champ sesame bun, ketchup, lettuce, sliced cheese, tomato"
100394,NOUN,Burger Steak Family Pan,,"416,423","Burger Steak & Chicken Fillet, Family Meals",34128,1100394,Steak Pan Size (SPS),,,"burger steak patty, family pan burger steak, mushroom, steak sauce"
100404,NOUN,Jolly Crispy Fries Bucket,AA6081110003502,420,"Fries, Sides & Extras",,,,2713,Add on (Crispy Fries)20260506132816,bucket of fries
104108,NOUN,Pork-Free Palabok Solo,AA608011000007,422,Jolly Spaghetti & Palabok,34289,1104108,Add-on Desserts (AODS),,,"boiled egg, calamansi, ground tinapa, palabok noodles, palabok sauce, shrimp, single serving palabok"
104192,NOUN,1-pc. Pepper Cream Chicken Fillet w/ Jolly Spaghetti & Drink,1-AC6081110003288_1-MC6081110003552_1-MC608011000006,423,Burger Steak & Chicken Fillet,"34122, 34262, 34124","1104192, 2104192, 3104192","Drinks: (VM/SVM), Extras: Pepper Cream Chicken Fillet (EPCCF), Add-on Desserts (AODS)",,,"1x chicken fillet, chicken fillet, pepper cream sauce, single serving spaghetti, spaghetti grated cheese, spaghetti noodles, spaghetti sauce, steamed rice"
104329,NOUN,Test PAG,,,,,,,,,
100080,NOUN,Champ w/ Fries & Drink,1-AC608011000154_1-MC608011000004,424,Burgers,"32050, 32051, 32052, 32053","1100080, 2100080, 3100080, 4100080","Choice of Fries (COF), Drinks: (VM/SVM), Extras: Burgers (EB), Add-on Desserts (AODS)",,,"all fries, champ all purpose dressing, champ patty, champ sesame bun, ketchup, lettuce, sliced cheese, tomato"
100081,NOUN,Cheesy Yumburger Solo,AA608011000002,424,Burgers,"32054, 32056","1100081, 2100081","Extras: Burgers (EB), Add-on Desserts (AODS)",,,"burger and sandwich bun, sliced cheese, special burger dressing, yum patty"
101777,NOUN,"1-pc. Chickenjoy, Half Jolly Spaghetti, Fries w/ Rice & Drink",,427,Super Meals,"34241, 34321, 34322, 34323, 34324","1101777, 2101777, 3101777, 4101777, 5101777","Flavor : Super Meal (CHF), Choice of Fries (COF), Drinks: (VM/SVM), Add-on Desserts (AODS), Extras: Chickenjoy (ECJ)",,,"1x chickenjoy, all chickenjoy, all fries, chickenjoy gravy, half serving spaghetti, spaghetti grated cheese, spaghetti noodles, spaghetti sauce, steamed rice"
101782,NOUN,Burger Steak Family Savers,1-AA6081110003624_3-MC608011000040_3-MC608011000072,416,Family Meals,,,,,,"burger steak patty, mushroom, peach mango pie, steak sauce"
101844,NOUN,Large Peach Mango Pie,AA6081110003648,418,Desserts & Sweet Pies,,,,2708,Choice of Peach Mango Pie20260615140845,"large peach mango pie, peach mango pie"
101845,NOUN,Large Peach Mango Pie 3 Pies To-Go,1-AA6081110003650_3-MC6081110003313,"416,418","Desserts & Sweet Pies, Family Meals",,,,2708,Choice of Peach Mango Pie20260615140845,"large peach mango pie, peach mango pie"
104289,NOUN,Mashed Potato,AA6081110004008,420,"Fries, Sides & Extras",,,,,,"chickenjoy gravy, mashed potato"
102094,NOUN,Pepsi Float,AA6081110003664,417,Beverages,,,,,,"fudge, pepsi, soft serve"
100074,NOUN,1-pc. Chickenjoy Solo,,425,Chickenjoy,"34149, 34379, 34378, 34380","1100074, 2100074, 3100074, 4100074","Flavor: Chicken (FC), Add-on Sides: Chickenjoy  (AOSCJOY), Extras: Chickenjoy (ECJ), Add-on Desserts (AODS)",,,"1x chickenjoy, all chickenjoy, chickenjoy gravy, steamed rice"
102450,NOUN,4 – pc. Chickenjoy Family Box Solo,AA6081110003530,"416,425","Chickenjoy, Family Meals",32344,1102450,Flavor: Chicken (FC4),,,"4x chickenjoy box, all chickenjoy, chickenjoy gravy"
102451,NOUN,6-pc. Chickenjoy Solo,AA608011000238,"416,425","Chickenjoy, Family Meals",32345,1102451,Flavor : Bucket (FB6),,,"all chickenjoy, chickenjoy bucket, chickenjoy gravy"
102452,NOUN,8-pc. Chickenjoy Solo,AA608011000250,"416,425","Chickenjoy, Family Meals",32346,1102452,Flavor : Bucket(FB8),,,"all chickenjoy, chickenjoy bucket, chickenjoy gravy"
102454,NOUN,6-pc. Chickenjoy w/ Jolly Spaghetti Pan,1-AC6081110002979_1-MC608011041128,416,Family Meals,34245,1102454,Flavor : Bucket (FB6),,,"all chickenjoy, chickenjoy bucket, chickenjoy gravy, family pan spaghetti, spaghetti grated cheese, spaghetti noodles, spaghetti sauce"
102455,NOUN,6-pc. Chickenjoy w/ Palabok Family Pan,1-AA6081110003443_1-MC6081110003214,416,Family Meals,32349,1102455,Flavor : Bucket (FB6),,,"all chickenjoy, boiled egg, calamansi, chickenjoy bucket, chickenjoy gravy, family pan palabok, ground tinapa, marinated pork, palabok noodles, palabok sauce, pork chicharon, shrimp"
102456,NOUN,8-pc. Chickenjoy w/ Palabok Family Pan,1-AA6081110003444_1-MC6081110003214,416,Family Meals,32350,1102456,Flavor : Bucket(FB8),,,"all chickenjoy, boiled egg, calamansi, chickenjoy bucket, chickenjoy gravy, family pan palabok, ground tinapa, marinated pork, palabok noodles, palabok sauce, pork chicharon, shrimp"
102462,NOUN,1-pc. Chickenjoy w/ Fries & Drink,,425,Chickenjoy,"34216, 34396, 34397, 34398, 34399, 34400","1102462, 2102462, 3102462, 4102462, 5102462, 6102462","Flavor: Chicken (FCFD), Choice of Fries (COF), Drinks: (VM/SVM), Add-on Sides: Chickenjoy  (AOSCJOY), Extras: Chickenjoy (ECJ), Add-on Desserts (AODS)",,,"1x chickenjoy, all chickenjoy, all fries, chickenjoy gravy, steamed rice"
102463,NOUN,Yumburger w/ Fries & Drink,1-AC608011000156_1-MC608011000001,424,Burgers,"32163, 32164, 32165, 32166","1102463, 2102463, 3102463, 4102463","Choice of Fries (COF), Drinks: (VM/SVM), Extras: Burgers (EB), Add-on Desserts (AODS)",,,"all fries, burger and sandwich bun, special burger dressing, yum patty"
102464,NOUN,Cheesy Yumburger w/ Fries & Drink,1-AC608011000157_1-MC608011000002,424,Burgers,"32167, 32168, 32169, 32170","1102464, 2102464, 3102464, 4102464","Choice of Fries (COF), Drinks: (VM/SVM), Extras: Burgers (EB), Add-on Desserts (AODS)",,,"all fries, burger and sandwich bun, sliced cheese, special burger dressing, yum patty"
102465,NOUN,Bacon Cheesy Yumburger w/ Fries & Drink,1-AC6081110003028_1-MC6081110003109,424,Burgers,"32171, 32172, 32173, 32174","1102465, 2102465, 3102465, 4102465","Choice of Fries (COF), Drinks: (VM/SVM), Extras: Burgers (EB), Add-on Desserts (AODS)",,,"bacon, burger and sandwich bun, sliced cheese, special burger dressing, yum patty"
102466,NOUN,Champ Jr. w/ Fries & Drink,1-AC608011000590_1-MC608011041111,424,Burgers,"32175, 32176, 32177, 32178","1102466, 2102466, 3102466, 4102466","Choice of Fries (COF), Drinks: (VM/SVM), Extras: Burgers (EB), Add-on Desserts (AODS)",,,"champ all purpose dressing, jr champ sesame bun, ketchup, lettuce, sliced cheese, tomato, yum patty"
102467,NOUN,Jolly Spaghetti w/ Fries & Drink,1-AC608011000581_1-MC608011000006,422,Jolly Spaghetti & Palabok,"26852, 31726, 31724, 31725","1102467, 2102467, 3102467, 4102467","Choice of Fries (COF), Drinks: (VM/SVM), Extras: Spaghetti (ESP), Add-on Desserts (AODS)",,,"single serving spaghetti, spaghetti grated cheese, spaghetti noodles, spaghetti sauce"
104173,NOUN,Bucket of Fries w/ 3 Coke Floats,1-AA6081110004189_1-MC6081110003261_3-MC608011000848,"420,426","Fries, Sides & Extras, New Products",,,,,,"bucket of fries, coke, fudge, soft serve"
104287,NOUN,Cheesy Classic Jolly Hotdog GameJoy Combo,1-AC6081110003323_1-MC608011000046_1-MC608011000072_1-MC6081110003587,439,Gamejoy Combos,"34281, 34282, 34283","1104287, 2104287, 3104287","Choice of Fries (COF), Drinks: (VM/SVM), Add-on Desserts (AODS)",,,"gamejoy combo, hotdog bun, hotdog dressing, jolly hotdog, jolly hotdog grated cheese, ketchup"
104174,NOUN,Fries w/ Pepsi Float,,"420,426","Fries, Sides & Extras, New Products",34076,1104174,SCF : Fries and Pepsi Float (SFPF),,,"all fries, fudge, pepsi, soft serve"
103027,NOUN,"Yumburger, Fries & Royal",1-AC608011000156_1-MC608011000001,313,Royal SNACKulitan,29263,0103027,Choice of Fries (COF),,,"all fries, burger and sandwich bun, royal, special burger dressing, yum patty"
103028,NOUN,"Jolly Spaghetti, Yumburger & Royal",1-AC608011000159_1-MC608011000001_1-MC608011000006,313,Royal SNACKulitan,,,,,,"burger and sandwich bun, royal, single serving spaghetti, spaghetti grated cheese, spaghetti noodles, spaghetti sauce, special burger dressing, yum patty"
103029,NOUN,"Cheesy Yumburger, Fries & Royal",1-AC608011000157_1-MC608011000002,313,Royal SNACKulitan,29266,0103029,Choice of Fries (COF),,,"all fries, burger and sandwich bun, royal, sliced cheese, special burger dressing, yum patty"
103030,NOUN,"Jolly Spaghetti, Cheesy Yum & Royal",1-AC608011001005_1-MC608011000006_1-MC608011000002,313,Royal SNACKulitan,,,,,,"burger and sandwich bun, royal, single serving spaghetti, sliced cheese, spaghetti grated cheese, spaghetti noodles, spaghetti sauce, special burger dressing, yum patty"
103031,NOUN,Yumburger Super Meal w/ Royal,1-AC608011000835_1-MC608011000001_1-MC608011041289,313,Royal SNACKulitan,32851,1103031,Choice of Fries (COF),,,"burger and sandwich bun, royal, special burger dressing, yum patty"
103126,NOUN,Minute Maid Orange Juice,,417,Beverages,34074,1103126,Choice of Orange Juice Size (COJs),,,orange juice
104205,NOUN,Burger Steak w/ Palabok Family Pan,,416,Family Meals,34309,1104205,Steak & Palabok Pan Size (SPPS),,,"boiled egg, burger steak patty, calamansi, family pan burger steak, family pan palabok, ground tinapa, marinated pork, mushroom, palabok noodles, palabok sauce, pork chicharon, shrimp, steak sauce"
104204,NOUN,Burger Steak w/ Jolly Spaghetti Family Pan,,416,Family Meals,34203,1104204,Steak & Spag Pan Size (SSPS),,,"burger steak patty, family pan burger steak, family pan spaghetti, mushroom, spaghetti grated cheese, spaghetti noodles, spaghetti sauce, steak sauce"
104203,NOUN,"1-pc. Chickenjoy, Half Jolly Spaghetti, Yumburger w/ Rice & Drink",,427,Super Meals,"34240, 34328, 34329, 34330","1104203, 2104203, 3104203, 4104203","Flavor : Super Meal (CHY), Drinks: (VM/SVM), Add-on Desserts (AODS), Extras: Chickenjoy (ECJ)",,,"1x chickenjoy, all chickenjoy, burger and sandwich bun, chickenjoy gravy, half serving spaghetti, spaghetti grated cheese, spaghetti noodles, spaghetti sauce, special burger dressing, steamed rice, yum patty"
